DATE,UnemploymentRate
5/1/1993,8.553224510448324
6/1/1993,8.558164298588993
7/1/1993,8.41897865475303
8/1/1993,8.496210200805562
9/1/1993,8.500626887457212
10/1/1993,8.295830685549383
11/1/1993,8.434355533302812
12/1/1993,8.132940130295644
1/1/1994,8.596607478955631
2/1/1994,8.86862073164191
3/1/1994,8.268350199877252
4/1/1994,7.918668662596505
5/1/1994,7.590004496472348
6/1/1994,7.563530307356517
7/1/1994,7.3282254022082745
8/1/1994,7.2847562130581744
9/1/1994,7.434929527210702
10/1/1994,7.030897482310373
11/1/1994,7.062579406232906
12/1/1994,6.839645942656568
1/1/1995,7.390391576271318
2/1/1995,7.611817378232356
3/1/1995,7.273429831359526
4/1/1995,6.7052101210395785
5/1/1995,6.5044507649060055
6/1/1995,6.3390358538247735
