Date,Close Price,Open,High,Low,Vol.,Change %
2-Jul-18,6177.8,"6,194.60","6,220.10","6,177.50",496.44M,-0.27%
3-Jul-18,6210.2,"6,177.80","6,218.30","6,177.80",509.61M,0.52%
4-Jul-18,6183.4,"6,210.20","6,213.80","6,174.40",488.09M,-0.43%
5-Jul-18,6215.5,"6,183.40","6,218.50","6,182.00",532.15M,0.52%
6-Jul-18,6272.3,"6,215.50","6,273.50","6,215.50",512.66M,0.91%
9-Jul-18,6286,"6,272.30","6,301.50","6,272.30",397.09M,0.22%
10-Jul-18,6258.1,"6,286.00","6,306.10","6,257.90",479.13M,-0.44%
11-Jul-18,6215.6,"6,258.10","6,258.10","6,209.60",503.86M,-0.68%
12-Jul-18,6268.3,"6,215.60","6,279.80","6,209.90",597.75M,0.85%
13-Jul-18,6268.4,"6,268.30","6,287.10","6,251.10",425.12M,0.00%
16-Jul-18,6241.5,"6,267.60","6,275.70","6,235.50",381.86M,-0.43%
17-Jul-18,6203.6,"6,241.50","6,241.50","6,199.90",457.04M,-0.61%
18-Jul-18,6245.1,"6,203.60","6,256.80","6,203.60",500.72M,0.67%
19-Jul-18,6262.7,"6,245.10","6,274.20","6,243.10",548.27M,0.28%
20-Jul-18,6285.9,"6,262.70","6,297.90","6,254.80",449.80M,0.37%
23-Jul-18,6227.6,"6,285.90","6,285.90","6,224.90",442.90M,-0.93%
24-Jul-18,6265.8,"6,227.60","6,269.20","6,227.60",472.11M,0.61%
25-Jul-18,6247.6,"6,265.80","6,277.30","6,239.70",529.80M,-0.29%
26-Jul-18,6244.5,"6,247.60","6,252.10","6,214.50",653.62M,-0.05%
27-Jul-18,6300.2,"6,244.50","6,302.30","6,244.50",756.57M,0.89%
30-Jul-18,6278.4,"6,297.00","6,300.20","6,260.00",453.10M,-0.35%
31-Jul-18,6280.2,"6,278.40","6,298.60","6,271.90",549.81M,0.03%
1-Aug-18,6275.7,"6,280.20","6,293.30","6,269.10",471.43M,-0.07%
2-Aug-18,6240.9,"6,275.70","6,277.50","6,240.90",543.71M,-0.55%
3-Aug-18,6234.8,"6,240.90","6,269.90","6,231.20",473.47M,-0.10%
6-Aug-18,6273,"6,234.80","6,284.30","6,234.80",341.74M,0.61%
7-Aug-18,6253.9,"6,273.00","6,273.00","6,244.40",597.11M,-0.30%
8-Aug-18,6268.5,"6,253.90","6,279.00","6,253.90",583.48M,0.23%
9-Aug-18,6297.7,"6,268.50","6,313.60","6,258.40",522.14M,0.47%
10-Aug-18,6278.4,"6,297.70","6,307.20","6,277.40",451.65M,-0.31%
13-Aug-18,6252.2,"6,278.10","6,279.70","6,239.60",467.01M,-0.42%
14-Aug-18,6299.6,"6,252.20","6,307.80","6,252.20",570.80M,0.76%
15-Aug-18,6329,"6,299.60","6,329.00","6,274.70",538.15M,0.47%
16-Aug-18,6328.3,"6,329.00","6,331.00","6,282.40",687.68M,-0.01%
17-Aug-18,6339.2,"6,328.30","6,348.10","6,316.60",589.15M,0.17%
20-Aug-18,6345,"6,338.40","6,358.00","6,338.40",629.00M,0.09%
21-Aug-18,6284.4,"6,345.00","6,345.40","6,275.90",533.06M,-0.96%
22-Aug-18,6266,"6,284.40","6,284.40","6,248.80",651.46M,-0.29%
23-Aug-18,6244.4,"6,266.00","6,275.70","6,242.50",844.07M,-0.34%
24-Aug-18,6247.3,"6,244.40","6,273.70","6,238.00",848.87M,0.05%
27-Aug-18,6268.9,"6,247.50","6,269.60","6,230.90",567.27M,0.35%
28-Aug-18,6304.7,"6,268.90","6,318.90","6,268.90",709.68M,0.57%
29-Aug-18,6352.2,"6,304.70","6,352.20","6,303.00",778.15M,0.75%
30-Aug-18,6351.8,"6,352.20","6,373.50","6,348.20",662.79M,-0.01%
31-Aug-18,6319.5,"6,351.80","6,355.20","6,319.50",754.55M,-0.51%
3-Sep-18,6310.9,"6,319.50","6,333.70","6,310.90",468.43M,-0.14%
4-Sep-18,6293.1,"6,310.90","6,314.90","6,276.30",484.58M,-0.28%
5-Sep-18,6230.4,"6,293.10","6,293.10","6,230.40",614.59M,-1.00%
6-Sep-18,6160.4,"6,230.40","6,230.40","6,150.70",692.04M,-1.12%
7-Sep-18,6143.8,"6,160.40","6,160.40","6,102.00",539.71M,-0.27%
10-Sep-18,6141.7,"6,143.80","6,152.70","6,123.80",479.29M,-0.03%
11-Sep-18,6179.7,"6,141.70","6,181.50","6,139.30",534.88M,0.62%
12-Sep-18,6175.9,"6,179.70","6,181.10","6,152.40",568.17M,-0.06%
